id,title,host_venue_info_id,host_venue_info_name,host_venue_info_publisher,host_venue_info_type,host_venue_info_url,host_venue_info_open_access,works_type,original_paper_date
https://openalex.org/W2990150467,RETRACTED ARTICLE: Sentiment topic emotion model on students feedback for educational benefits and practices,https://openalex.org/V123849098,Behaviour & Information Technology,Taylor & Francis,publisher,https://doi.org/10.1080/0144929x.2019.1687756,FALSE,journal-article,NA
https://openalex.org/W2069205277,"Personality, stress, smoking, and genetic predisposition as synergistic risk factors for cancer and coronary heart disease.",https://openalex.org/V63007466,Integrative Physiological and Behavioral Science,Springer New York,publisher,https://doi.org/10.1007/bf02691067,FALSE,journal-article,NA
https://openalex.org/W2785319624,статья изъята: ПРОБЛЕМА СТЕРЕОТИПНОСТИ В СТРУКТУРЕ ИЗОБРАЗИТЕЛЬНОЙ ДЕЯТЕЛЬНОСТИ РЕБЕНКА,NA,Международный научно-исследовательский журнал,NA,NA,https://research-journal.org/wp-content/uploads/2017/11/11-2-65.pdf#page=166,NA,NA,NA
https://openalex.org/W3100972095,Observations on Homosexuality Among University Students: Retraction.,https://openalex.org/V13566964,Journal of Nervous and Mental Disease,Ovid Technologies (Wolters Kluwer)  - Lippincott Williams & Wilkins,publisher,https://doi.org/10.1097/nmd.0000000000001273,FALSE,journal-article,NA
https://openalex.org/W2566539855,The article examines the multiplicity of views of the phenomenon of organizational culture in the framework of modern socio-humanitarian knowledge,https://openalex.org/V4210221408,Вестник Томского государственного университета,Tomsk State University,publisher,https://doi.org/10.17223/1998863x/35/1,FALSE,journal-article,NA
https://openalex.org/W2944891671,Hospital admission and readmission among homeless patients with neurologic disease.,https://openalex.org/V79704628,Neurology,Ovid Technologies (Wolters Kluwer) - American Academy of Neurology,publisher,https://doi.org/10.1212/wnl.0000000000007645,NA,journal-article,NA
https://openalex.org/W2939204210,Effectiveness of music therapy with relaxation technique on stress management as measured by perceived stress scale.,https://openalex.org/V28966261,Medicine,Ovid Technologies (Wolters Kluwer)  - Lippincott Williams & Wilkins,publisher,https://doi.org/10.1097/md.0000000000015107,TRUE,journal-article,NA
https://openalex.org/W2966994271,Randomized controlled evaluation of the effect of music therapy with cognitive-behavioral therapy on social anxiety symptoms.,https://openalex.org/V28966261,Medicine,Ovid Technologies (Wolters Kluwer)  - Lippincott Williams & Wilkins,publisher,https://doi.org/10.1097/md.0000000000016495,TRUE,journal-article,NA
https://openalex.org/W2803648579,RETRACTED: Short-Term Exposure to Movie Violence and Implicit Aggression During Adolescence:,https://openalex.org/V189466069,Youth & Society,SAGE,publisher,https://doi.org/10.1177/0044118x18775846,FALSE,journal-article,NA
https://openalex.org/W2801812839,RETRACTED: The Priming Effect of Violent Game Play on Aggression Among Adolescents:,https://openalex.org/V189466069,Youth & Society,SAGE,publisher,https://doi.org/10.1177/0044118x18770309,FALSE,journal-article,NA
https://openalex.org/W2888243679,Comparison of Clinical Significance of Cognitive-Behavioral Therapy and Psychodynamic Therapy for Major Depressive Disorder: A Randomized Clinical Trial.,https://openalex.org/V13566964,Journal of Nervous and Mental Disease,Ovid Technologies (Wolters Kluwer)  - Lippincott Williams & Wilkins,publisher,https://doi.org/10.1097/nmd.0000000000000872,FALSE,journal-article,NA
https://openalex.org/W2959474491,Aspects of Cognitive Performance Relating to Theory of Mind (ToM) Among People Diagnosed With Post-Traumatic Stress Disorder (PTSD),https://openalex.org/V124245730,Neuropsychiatric Disease and Treatment,Dove Medical Press,publisher,https://doi.org/10.2147/ndt.s214595,TRUE,journal-article,NA
